epoch,time(s),train_loss,test_loss,test_error(%)
001,00016,7.771059,0.44921,8.00
002,00017,4.735546,0.38724,6.60
003,00013,3.373744,0.43183,6.81
004,00013,3.413592,0.47776,7.52
005,00013,2.833178,0.45932,6.61
006,00013,2.477713,0.42535,6.85
007,00013,2.422725,0.43577,6.40
008,00013,2.306699,0.42209,6.76
009,00013,2.129842,0.40385,6.48
010,00013,2.100565,0.41608,6.61
